complaint_text,category,subcategory,department,urgency
Uneven lane causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Large potholes on MG Road highway,Road,Potholes,Public Works Department,Low
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Contaminated water from taps at Old Market,Water,Quality,Water Quality Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Footpath tiles missing at Old Market,Road,Footpath,Urban Development Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Damaged street surface near Civil Lines,Road,Potholes,Public Works Department,Medium
Electricity failure since last night in Sector 15,Electricity,PowerCut,Electricity Distribution Department,High
Pipeline leaking on road at Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Footpath tiles missing at MG Road,Road,Footpath,Urban Development Department,Low
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
No proper pavement in Old Market,Road,Footpath,Urban Development Department,Low
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Defective traffic signal in MG Road,Road,TrafficSignal,Traffic Management Department,High
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Damaged highway surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Uneven street causing accidents at Civil Lines,Road,Potholes,Public Works Department,Low
Water not safe for drinking in Civil Lines,Water,Quality,Water Quality Department,High
Pipeline leaking on lane at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Public toilet in Old Market not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Severe water leakage in Old Market,Water,Leakage,Water Supply Department,High
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,Medium
Footpath tiles missing at MG Road,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
Traffic signal not working at Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,Medium
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Exposed live wire near Sector 15,Electricity,Wiring,Electrical Safety Department,High
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,High
Overflowing dustbins in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Medium
No water in public toilet at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Damaged road surface near Sector 15,Road,Potholes,Public Works Department,Medium
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Unsafe sidewalk at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Complete blackout at Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,Medium
Lamp post cracked in MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Loose electrical cables in Old Market,Electricity,Wiring,Electrical Safety Department,High
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Clogged drain near Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Drain blocked and water pooling at Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Pipeline leaking on highway at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Signal damaged at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
Dark area due to faulty streetlights at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Signal damaged at Civil Lines junction,Road,TrafficSignal,Traffic Management Department,High
Clogged drain near Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged lane surface near Sector 15,Road,Potholes,Public Works Department,Medium
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Signal faulty at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,Medium
Defective traffic signal in Old Market,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,Medium
Waterlogging after heavy rain in Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Overflowing dustbins in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Low
Uneven lane causing accidents at Old Market,Road,Potholes,Public Works Department,Low
Multiple potholes in MG Road,Road,Potholes,Public Works Department,Medium
Electricity failure since last night in Sector 15,Electricity,PowerCut,Electricity Distribution Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Contaminated water from taps at Sanjay Nagar,Water,Quality,Water Quality Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Defective traffic signal in Civil Lines,Road,TrafficSignal,Traffic Management Department,High
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Signal faulty at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Traffic signal not working at Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Sewage water overflowing at Old Market,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Signal cracked at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Waste lying unattended in Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Low
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Uneven highway causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Damaged lane surface near Sector 15,Road,Potholes,Public Works Department,Medium
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Multiple potholes in Sector 15,Road,Potholes,Public Works Department,Medium
Traffic signal not working at Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Clogged drain near Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Large potholes on Sector 15 highway,Road,Potholes,Public Works Department,Medium
Power outage reported in Sector 15,Electricity,PowerCut,Electricity Distribution Department,Medium
Lamp post broken in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on lane at MG Road,Water,Leakage,Water Supply Department,High
Dangerous hanging wires at Old Market,Electricity,Wiring,Electrical Safety Department,High
No water in public toilet at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Loose electrical cables in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Signal cracked at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Red light not functioning in Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Lamp post damaged in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Lamp post broken in MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
Underground pipe burst at Old Market,Water,Leakage,Water Supply Department,High
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Severe water leakage in Sanjay Nagar,Water,Leakage,Water Supply Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Loose electrical cables in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Pipeline leaking on highway at MG Road,Water,Leakage,Water Supply Department,High
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Large potholes on Sector 15 street,Road,Potholes,Public Works Department,Low
Pipeline leaking on road at Sector 15,Water,Leakage,Water Supply Department,High
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Streetlight not working at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Signal cracked at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Pipeline leaking on road at Civil Lines,Water,Leakage,Water Supply Department,High
Overflowing dustbins in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Low
Uneven lane causing accidents at Old Market,Road,Potholes,Public Works Department,Low
Flickering light pole at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Lamp post faulty in Old Market,Electricity,Streetlight,Municipal Lighting Department,Medium
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Damaged lane surface near Old Market,Road,Potholes,Public Works Department,Medium
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Damaged road surface near Civil Lines,Road,Potholes,Public Works Department,Medium
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Flickering light pole at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
Sewage water overflowing at Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Streetlight not working at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on lane at Sector 15,Water,Leakage,Water Supply Department,High
Signal cracked at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Footpath tiles missing at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Defective traffic signal in Sector 15,Road,TrafficSignal,Traffic Management Department,High
Signal damaged at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Damaged road surface near Sector 15,Road,Potholes,Public Works Department,Medium
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Street flooded near Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Pipeline leaking on highway at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Rainwater accumulation at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Signal faulty at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Signal faulty at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Pipeline leaking on street at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Power outage reported in Sector 15,Electricity,PowerCut,Electricity Distribution Department,Medium
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Sanjay Nagar street,Road,Potholes,Public Works Department,Low
Pipeline leaking on lane at Sector 15,Water,Leakage,Water Supply Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Uneven lane causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,High
Overflowing dustbins in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Low
Overflowing dustbins in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Medium
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,High
Blocked manhole in Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Pipeline leaking on highway at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Dark area due to faulty streetlights at Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Street flooded near Old Market,Water,Waterlogging,Drainage Department,Medium
Sewage water overflowing at Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,Medium
No electricity supply since morning in Sector 15,Electricity,PowerCut,Electricity Distribution Department,Medium
Rainwater accumulation at Rajiv Chowk,Water,Waterlogging,Drainage Department,Low
Broken pipeline flooding Civil Lines,Water,Leakage,Water Supply Department,High
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Brown water supply in Civil Lines,Water,Quality,Water Quality Department,High
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Severe water leakage in Civil Lines,Water,Leakage,Water Supply Department,Medium
Damaged street surface near Sector 15,Road,Potholes,Public Works Department,Medium
Street flooded near Sector 15,Water,Waterlogging,Drainage Department,Medium
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Waterlogging after heavy rain in Sector 15,Water,Waterlogging,Drainage Department,Medium
Flickering light pole at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Medium
Large potholes on Civil Lines lane,Road,Potholes,Public Works Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Uneven street causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Exposed live wire near Sector 15,Electricity,Wiring,Electrical Safety Department,High
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Signal faulty at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Large potholes on Sector 15 highway,Road,Potholes,Public Works Department,Low
Streetlight not working at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Flickering light pole at Old Market,Electricity,Streetlight,Municipal Lighting Department,Medium
Clogged drain near Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Streetlight not working at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,Medium
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Waterlogging after heavy rain in Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Street flooded near Civil Lines,Water,Waterlogging,Drainage Department,Medium
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Severe water leakage in Old Market,Water,Leakage,Water Supply Department,Medium
Pipeline leaking on highway at MG Road,Water,Leakage,Water Supply Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Pipeline leaking on street at MG Road,Water,Leakage,Water Supply Department,High
Damaged highway surface near Sector 15,Road,Potholes,Public Works Department,Low
Red light not functioning in MG Road,Road,TrafficSignal,Traffic Management Department,Medium
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Damaged highway surface near Civil Lines,Road,Potholes,Public Works Department,Medium
Dark area due to faulty streetlights at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Unsafe sidewalk at Sector 15,Road,Footpath,Urban Development Department,Low
Uneven lane causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Traffic signal not working at Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Pipeline leaking on road at Civil Lines,Water,Leakage,Water Supply Department,High
Footpath tiles missing at MG Road,Road,Footpath,Urban Development Department,Low
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Lamp post cracked in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Drain blocked and water pooling at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Flickering light pole at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Waste lying unattended in Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Medium
Signal faulty at Old Market junction,Road,TrafficSignal,Traffic Management Department,Medium
Pipeline leaking on road at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Pipeline leaking on highway at Old Market,Water,Leakage,Water Supply Department,High
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Clogged drain near Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Streetlight not working at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Large potholes on MG Road highway,Road,Potholes,Public Works Department,Medium
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Uneven street causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Pipeline leaking on highway at Old Market,Water,Leakage,Water Supply Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
Exposed live wire near Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Uneven road causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Lamp post damaged in Old Market,Electricity,Streetlight,Municipal Lighting Department,Medium
No water in public toilet at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Uneven highway causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Public toilet in Civil Lines not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Medium
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,Medium
Sewage water overflowing at Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Lamp post faulty in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Public toilet in Rajiv Chowk not cleaned,Sanitation,PublicToilet,Public Health Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Sewage water overflowing at Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Damaged lane surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Signal damaged at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Rainwater accumulation at Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Complete blackout at Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,Medium
Clogged drain near Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Waste lying unattended in Sanjay Nagar,Sanitation,Garbage,Municipal Sanitation Department,Medium
Traffic signal not working at Sector 15,Road,TrafficSignal,Traffic Management Department,High
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Uneven lane causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Complete blackout at Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Traffic signal not working at Old Market,Road,TrafficSignal,Traffic Management Department,High
Foul smell from toilet at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Signal faulty at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Damaged street surface near Old Market,Road,Potholes,Public Works Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Lamp post faulty in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Complete blackout at Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Unsafe sidewalk at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Defective traffic signal in Old Market,Road,TrafficSignal,Traffic Management Department,High
Traffic signal not working at Old Market,Road,TrafficSignal,Traffic Management Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Lamp post broken in Old Market,Electricity,Streetlight,Municipal Lighting Department,Low
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Broken electric wires lying in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Large potholes on Old Market street,Road,Potholes,Public Works Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Medium
Contaminated water from taps at Civil Lines,Water,Quality,Water Quality Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Street flooded near Old Market,Water,Waterlogging,Drainage Department,Low
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Blocked manhole in Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Electricity failure since last night in Old Market,Electricity,PowerCut,Electricity Distribution Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Contaminated water from taps at Civil Lines,Water,Quality,Water Quality Department,High
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Footpath tiles missing at MG Road,Road,Footpath,Urban Development Department,Medium
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Street flooded near MG Road,Water,Waterlogging,Drainage Department,Medium
Complete blackout at Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Loose electrical cables in Old Market,Electricity,Wiring,Electrical Safety Department,High
Signal broken at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Uneven lane causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Uneven lane causing accidents at MG Road,Road,Potholes,Public Works Department,Medium
